Distance [mm],Bz [],Bz_1 [],Bz_2 []
2.262,0.131760396,0.112526965,0.069503587
2.28085,0.130767007,0.111862016,0.069107704
2.2997,0.129755889,0.111190271,0.068709843
2.31855,0.12872708,0.110511755,0.068310019
2.3374,0.127680623,0.109826497,0.067908248
2.35625,0.126616557,0.109134523,0.067504546
2.3751,0.127086658,0.108435861,0.067098928
2.39395,0.126332686,0.107730537,0.066691411
2.4128,0.125563917,0.107018581,0.066282011
2.43165,0.124780381,0.106300019,0.065870744
2.4505,0.12398211,0.105574881,0.065457627
2.46935,0.123169133,0.104843195,0.065042675
2.4882,0.122341485,0.104104989,0.064625904
2.50705,0.121499197,0.103360294,0.064207333
2.5259,0.120642302,0.102609137,0.063786976
2.54475,0.119770835,0.10185155,0.06336485
2.5636,0.11888483,0.101087562,0.062940973
2.58245,0.117984322,0.100317203,0.062515361
2.6013,0.117069346,0.099540504,0.06208803
2.62015,0.116139939,0.098757495,0.061658998
2.639,0.115196137,0.098697049,0.061228281
2.65785,0.114237977,0.097842831,0.060795897
2.6767,0.113265498,0.09698078,0.060361863
2.69555,0.112504625,0.096110931,0.059926195
2.7144,0.111577961,0.095233316,0.059488911
2.73325,0.110636521,0.09434797,0.059050029
2.7521,0.109680342,0.09345493,0.058609565
2.77095,0.108709462,0.092554229,0.058167536
2.7898,0.10772392,0.091645904,0.057723962
2.80865,0.106723754,0.09045572,0.057278858
2.8275,0.105709003,0.089792058,0.056832242
2.84635,0.104679709,0.088935384,0.056384133
2.8652,0.10363591,0.090926148,0.055934547
2.88405,0.10257765,0.090112935,0.055370809
2.9029,0.101504969,0.089293172,0.054884508
2.92175,0.102305726,0.084885823,0.053827581
2.9406,0.101294524,0.084212492,0.053344579
2.95945,0.100269021,0.083534232,0.052080543
2.9783,0.099229259,0.084398589,0.051603208
2.99715,0.098175277,0.083618669,0.051124273
3.016,0.097107118,0.082834204,0.050643756
3.03485,0.096024824,0.082045224,0.050161677
3.0537,0.094372681,0.08125176,0.049678055
3.07255,0.093262047,0.080453843,0.049192908
3.0914,0.09213729,0.079651506,0.048706256
3.11025,0.090998455,0.07884478,0.048218118
3.1291,0.089845586,0.078033696,0.047728514
3.14795,0.08867873,0.077218287,0.047237462
3.1668,0.087497931,0.076398586,0.046744982
3.18565,0.086303237,0.075574623,0.046251094
3.2045,0.085094695,0.074746432,0.045755817
3.22335,0.083872353,0.073914046,0.04525917
3.2422,0.082636258,0.073077497,0.044761173
3.26105,0.086124495,0.072236818,0.044261847
3.2799,0.085168667,0.071392043,0.043761209
3.29875,0.084203957,0.070543205,0.043259281
3.3176,0.083230403,0.069690338,0.042756082
3.33645,0.082248043,0.068833474,0.042251632
3.3553,0.081256916,0.067972649,0.041745951
3.37415,0.080257061,0.067107895,0.041239059
3.393,0.079248517,0.066239248,0.040730976
3.41185,0.078231326,0.06536674,0.040221721
3.4307,0.077205525,0.064460414,0.039711316
3.44955,0.076171157,0.063580187,0.039199779
3.4684,0.075128262,0.062696218,0.038687132
3.48725,0.074076881,0.061808542,0.038173395
3.5061,0.073017055,0.060917196,0.037658588
3.52495,0.071948827,0.060022213,0.03714273
3.5438,0.070872239,0.059123629,0.036625844
3.56265,0.069787333,0.058221481,0.036107948
3.5815,0.068694151,0.057315802,0.035589064
3.60035,0.067592738,0.05640663,0.035069211
3.6192,0.066483136,0.055494,0.034548411
3.63805,0.06536539,0.054577947,0.033445598
3.6569,0.064239544,0.053658509,0.032934297
3.67575,0.063105641,0.052735721,0.032422197
3.6946,0.061963727,0.051617895,0.031909317
3.71345,0.060813847,0.050662005,0.031395677
3.7323,0.059656046,0.049702766,0.030881298
3.75115,0.05849037,0.048740216,0.0303662
3.77,0.057316865,0.047774394,0.029850404
3.78885,0.056135577,0.046805337,0.02933393
3.8077,0.051430244,0.045833083,0.028816798
3.82655,0.050095139,0.044857672,0.028299028
3.8454,0.048750674,0.043879141,0.027780642
3.86425,0.0473969,0.042897529,0.027261659
3.8831,0.046033871,0.043292616,0.0267421
3.90195,0.044661641,0.042297705,0.026221985
3.9208,0.043280264,0.041300673,0.025701336
3.93965,0.041889795,0.040445819,0.025180172
3.9585,0.046671901,0.039466201,0.023234196
3.97735,0.045366138,0.038484603,0.022679676
3.9962,0.044054963,0.037840657,0.022124438
4.01505,0.042738427,0.036748893,0.021568503
4.0339,0.041416583,0.035654541,0.021011894
4.05275,0.040314919,0.034557644,0.020454632
4.0716,0.039105313,0.033458246,0.019896741
4.09045,0.037891169,0.032356391,0.01933824
4.1093,0.036672534,0.03125212,0.018779154
4.12815,0.035449457,0.03014548,0.018219503
4.147,0.034221986,0.029110426,0.017659309
4.16585,0.032990169,0.028082753,0.017098596
4.1847,0.031754055,0.027053126,0.016537385
4.20355,0.030513693,0.026021586,0.015975698
4.2224,0.029269132,0.024988174,0.015413558
4.24125,0.02802042,0.023952931,0.014850986
4.2601,0.026767608,0.022915897,0.014288004
4.27895,0.025610343,0.021877113,0.013724636
4.2978,0.024488019,0.020836621,0.013160903
4.31665,0.02336349,0.019794462,0.012596828
4.3355,0.022236801,0.018750676,0.012032432
4.35435,0.021107996,0.017705305,0.011467739
4.3732,0.01997712,0.01665839,0.01090277
4.39205,0.018844217,0.015609972,0.010337547
4.4109,0.017709332,0.014560093,0.009772094
4.42975,0.016572509,0.014555734,0.008332386
4.4486,0.015433795,0.013635493,0.007771038
4.46745,0.014293233,0.012714427,0.007209361
4.4863,0.013150869,0.011792573,0.006647377
4.50515,0.012006748,0.010869968,0.006085108
4.524,0.010860914,0.009946647,0.005522577
4.54285,0.009713414,0.009022648,0.004959805
4.5617,0.008564292,0.008098006,0.004396815
4.58055,0.007413595,0.007172758,0.003833629
4.5994,0.006261366,0.006246941,0.00327027
4.61825,0.005107652,0.004765242,0.002706759
4.6371,0.003952499,0.003903841,0.002143118
4.65595,0.002795951,0.003042547,0.001579371
4.6748,0.001638056,0.002181394,0.001015539
4.69365,0.000478857,0.000483625,0.000451645
4.7125,-0.000681599,-0.000381167,-0.000112289
4.73135,-0.001210148,-0.001245915,-0.000676242
4.7502,-0.002198724,-0.002174593,-0.00124019
4.76905,-0.003187163,-0.003056699,-0.001804111
4.7879,-0.004175427,-0.003939745,-0.002367983
4.80675,-0.005163478,-0.004852766,-0.002941325
4.8256,-0.006151275,-0.005765396,-0.003521322
4.84445,-0.00713878,-0.006677602,-0.004101215
4.8633,-0.008125954,-0.007589346,-0.004680983
4.88215,-0.009112758,-0.008500592,-0.005260601
4.901,-0.010099154,-0.009411305,-0.005840048
4.91985,-0.011085101,-0.010321448,-0.0064193
4.9387,-0.012070562,-0.011230986,-0.006998334
4.95755,-0.013055497,-0.012139883,-0.007577128
4.9764,-0.014039867,-0.013048103,-0.008155659
4.99525,-0.015023634,-0.01395561,-0.008733904
5.0141,-0.016006759,-0.014862368,-0.009311839
5.03295,-0.016989202,-0.015768341,-0.009889443
5.0518,-0.017970926,-0.016673494,-0.010466693
5.07065,-0.018951891,-0.017577791,-0.011043565
5.0895,-0.019932058,-0.018481196,-0.011620037
5.10835,-0.02091139,-0.019383674,-0.012196086
5.1272,-0.026192969,-0.019337227,-0.012771689
5.14605,-0.024525877,-0.020401189,-0.013346825
5.1649,-0.026267542,-0.021463254,-0.013921469
5.18375,-0.028194163,-0.022523382,-0.014495599
5.2026,-0.029254631,-0.023581531,-0.015069193
5.22145,-0.030311888,-0.024637659,-0.015642228
5.2403,-0.031365892,-0.025691724,-0.016214682
5.25915,-0.032416601,-0.026743684,-0.016786531
5.278,-0.033463975,-0.027793498,-0.017357753
5.29685,-0.034507972,-0.028841125,-0.018970715
5.3157,-0.035548551,-0.029886524,-0.019562959
5.33455,-0.03658567,-0.030929652,-0.020154539
5.3534,-0.037619289,-0.031970469,-0.02074543
5.37225,-0.038649367,-0.033008934,-0.021335611
5.3911,-0.039675863,-0.034045005,-0.021925056
5.40995,-0.040698737,-0.035078642,-0.022513744
5.4288,-0.041717948,-0.036091704,-0.023101651
5.44765,-0.042733456,-0.037110429,-0.023688753
5.4665,-0.043745221,-0.038126584,-0.024275028
5.48535,-0.044753204,-0.03914013,-0.024860452
5.5042,-0.045757363,-0.040151026,-0.025320586
5.52305,-0.04675766,-0.041159232,-0.025878455
5.5419,-0.047754055,-0.042164708,-0.0264355
5.56075,-0.048746509,-0.043167415,-0.026991698
5.5796,-0.049734983,-0.044167313,-0.027547028
5.59845,-0.050719437,-0.044760488,-0.028101467
5.6173,-0.051699832,-0.045801754,-0.028654994
5.63615,-0.054822159,-0.046840057,-0.029207587
5.655,-0.055780468,-0.047218899,-0.029759224
5.67385,-0.056733202,-0.048221715,-0.030309883
5.6927,-0.057680325,-0.049221168,-0.030859543
5.71155,-0.058621798,-0.050217219,-0.031408181
5.7304,-0.059557584,-0.051209828,-0.031955777
5.74925,-0.060487647,-0.052198957,-0.032502308
5.7681,-0.06141195,-0.053184566,-0.033047754
5.78695,-0.062330456,-0.054166616,-0.033592091
5.8058,-0.063243128,-0.055145069,-0.0341353
5.82465,-0.064149932,-0.056119886,-0.034677358
5.8435,-0.065050832,-0.057091028,-0.035218244
5.86235,-0.064960469,-0.058058458,-0.035757937
5.8812,-0.066320033,-0.059022137,-0.036296415
5.90005,-0.067668465,-0.059982026,-0.036833658
5.9189,-0.069005711,-0.060561582,-0.037369643
5.93775,-0.070331719,-0.061420308,-0.037904351
5.9566,-0.071646436,-0.062276279,-0.038437759
5.97545,-0.072949811,-0.063129462,-0.038969846
5.9943,-0.074241792,-0.063979823,-0.039500593
6.01315,-0.075522327,-0.064827329,-0.040029977
6.032,-0.076791367,-0.065671946,-0.040557977
6.05085,-0.078048862,-0.066492467,-0.041084574
6.0697,-0.079294761,-0.067301628,-0.041609746
6.08855,-0.080529015,-0.068107463,-0.042133472
6.1074,-0.08168744,-0.06890994,-0.043941938
6.12625,-0.082788092,-0.069709028,-0.044456834
6.1451,-0.083876646,-0.070504696,-0.044921399
6.16395,-0.084953059,-0.071296911,-0.045408529
6.1828,-0.086017289,-0.072736853,-0.045894603
6.20165,-0.087069295,-0.073474803,-0.046379603
6.2205,-0.088109033,-0.074841661,-0.046863509
6.23935,-0.089136464,-0.075696442,-0.047346303
6.2582,-0.090151547,-0.076547101,-0.047827965
6.27705,-0.091154241,-0.077393605,-0.048308476
6.2959,-0.092144508,-0.078235921,-0.048787817
6.31475,-0.093122307,-0.079074015,-0.04926597
6.3336,-0.094083778,-0.079907853,-0.049742915
6.35245,-0.095112221,-0.080737404,-0.050218633
6.3713,-0.096128813,-0.081562634,-0.050693106
6.39015,-0.097133513,-0.082383512,-0.051166316
6.409,-0.098126282,-0.083200003,-0.051638243
6.42785,-0.099107082,-0.084012077,-0.052108868
6.4467,-0.100075872,-0.084819701,-0.052578174
6.46555,-0.101032615,-0.085622843,-0.053046141
6.4844,-0.101977273,-0.086421471,-0.053512752
6.50325,-0.102909808,-0.087215555,-0.053977987
6.5221,-0.103830185,-0.088005062,-0.054441829
6.54095,-0.104738366,-0.088789962,-0.054904259
6.5598,-0.105634316,-0.089570223,-0.055365258
6.57865,-0.106517999,-0.090345815,-0.05582481
6.5975,-0.107341926,-0.091116707,-0.056282894
6.61635,-0.108291096,-0.091882869,-0.056739495
6.6352,-0.109228165,-0.09264427,-0.057194592
6.65405,-0.110153094,-0.09340088,-0.057648169
6.6729,-0.111065849,-0.09405393,-0.058100207
6.69175,-0.111966392,-0.094793124,-0.05855069
6.7106,-0.112854689,-0.095557833,-0.058999597
6.72945,-0.113730703,-0.096248102,-0.059446914
6.7483,-0.114594401,-0.09693372,-0.061117016
6.76715,-0.115445749,-0.09761466,-0.061552905
6.786,-0.116284712,-0.098290895,-0.061987189
6.80485,-0.117111258,-0.098962399,-0.062419852
6.8237,-0.117925355,-0.099629144,-0.062850876
6.84255,-0.118726969,-0.100291105,-0.063280245
6.8614,-0.11951607,-0.100948256,-0.06370794
6.88025,-0.120292625,-0.10160057,-0.064133946
6.8991,-0.121056606,-0.102418638,-0.064558246
6.91795,-0.12180798,-0.103298713,-0.064980822
6.9368,-0.122546719,-0.104172733,-0.065401658
6.95565,-0.123272794,-0.105040663,-0.065820738
6.9745,-0.123986176,-0.105902468,-0.066238044
6.99335,-0.124686836,-0.106758114,-0.066653561
7.0122,-0.12196882,-0.107607568,-0.067067272
7.03105,-0.122717238,-0.108450796,-0.067479161
7.0499,-0.126056958,-0.109287765,-0.067889212
7.06875,-0.127059187,-0.110118442,-0.068297407
7.0876,-0.128045297,-0.110942793,-0.068703732
7.10645,-0.129015249,-0.111760787,-0.06910817
7.1253,-0.129969004,-0.112572391,-0.069510705
7.14415,-0.130906525,-0.113377573,-0.069911321
7.163,-0.131827775,-0.114176302,-0.070310003
7.18185,-0.132732717,-0.114968545,-0.070706734
7.2007,-0.133621316,-0.115456334,-0.071237863
7.21955,-0.134493536,-0.116125919,-0.071639283
7.2384,-0.135349344,-0.116789128,-0.072038062
7.25725,-0.136188704,-0.117445936,-0.072434184
7.2761,-0.137011586,-0.118096315,-0.072827634
7.29495,-0.137817954,-0.11874024,-0.073218396
7.3138,-0.138607779,-0.119377686,-0.073606455
7.33265,-0.139381028,-0.120008629,-0.073991795
7.3515,-0.140137672,-0.120633042,-0.074772389
7.37035,-0.14087768,-0.121250901,-0.075152081
7.3892,-0.141601023,-0.121862182,-0.075529384
7.40805,-0.142307673,-0.123735199,-0.075904283
7.4269,-0.140943937,-0.124194454,-0.076276764
7.44575,-0.141573253,-0.124645056,-0.076646812
7.4646,-0.142188561,-0.125086988,-0.077014412
7.48345,-0.142789835,-0.125520233,-0.077139156
7.5023,-0.143377052,-0.127208721,-0.077467197
7.52115,-0.14395019,-0.127815746,-0.077793298
7.54,-0.144509224,-0.128414088,-0.078117445
7.55885,-0.145054135,-0.129003722,-0.078439626
7.5777,-0.145584899,-0.129584626,-0.078759829
7.59655,-0.147582005,-0.127703486,-0.07907804
7.6154,-0.148407347,-0.128302432,-0.079394247
7.63425,-0.149213923,-0.128800294,-0.079708437
7.6531,-0.150001701,-0.129291295,-0.080020598
7.67195,-0.150770649,-0.129775414,-0.080330719
7.6908,-0.151520738,-0.130252634,-0.080638786
7.70965,-0.152251938,-0.130722936,-0.080944787
7.7285,-0.152964219,-0.1311863,-0.08124871
7.74735,-0.153657553,-0.131642708,-0.081539957
7.7662,-0.152837313,-0.132092143,-0.081835354
7.78505,-0.153452181,-0.132332501,-0.08212865
7.8039,-0.154047435,-0.132806518,-0.082419834
7.82275,-0.154623052,-0.133272586,-0.082708895
7.8416,-0.155179008,-0.133730686,-0.082995821
7.86045,-0.155715282,-0.134180801,-0.083280601
7.8793,-0.156231853,-0.134236028,-0.083563224
7.89815,-0.1567287,-0.134937263,-0.083843678
7.917,-0.157205803,-0.135629215,-0.084121953
7.93585,-0.157663144,-0.136322898,-0.084398037
7.9547,-0.158100705,-0.136724564,-0.08467192
