Distance [mm],Br [],Br_1 [],Br_2 []
2.6013,0.148472663,0.060740249,0.030938131
2.62015,0.14738514,0.060323697,0.030732368
2.639,0.146288912,0.058221188,0.030526608
2.65785,0.14518399,0.057734667,0.030320778
2.6767,0.144070384,0.057247237,0.030114805
2.69555,0.143450673,0.056758828,0.029908618
2.7144,0.14231689,0.05626937,0.029702141
2.73325,0.141176445,0.055778792,0.0294953
2.7521,0.140029342,0.055287023,0.029288021
2.77095,0.138875586,0.05479399,0.029080228
2.7898,0.137715184,0.054299622,0.028871846
2.80865,0.136548146,0.053469453,0.028662798
2.8275,0.135374484,0.053406489,0.028453008
2.84635,0.134194211,0.052886229,0.028242399
2.8652,0.133007343,0.057197442,0.028030894
2.88405,0.131813896,0.056539841,0.02813613
2.9029,0.13061389,0.055881171,0.027843212
2.92175,0.129176391,0.0552218,0.027555764
2.9406,0.127986089,0.054758346,0.027268258
2.95945,0.126789997,0.054293187,0.027027243
2.9783,0.125588118,0.050545623,0.026735284
2.99715,0.124380454,0.050059102,0.0264442
3.016,0.123167011,0.049573902,0.026153926
3.03485,0.121947796,0.049089925,0.025864396
3.0537,0.119853777,0.048607073,0.025575546
3.07255,0.118585998,0.048125244,0.025287307
3.0914,0.117313073,0.047644339,0.024999613
3.11025,0.116035017,0.047164254,0.024712396
3.1291,0.114751848,0.046684888,0.024425587
3.14795,0.113463582,0.046206136,0.024139118
3.1668,0.112170239,0.045727893,0.023852917
3.18565,0.110871839,0.045250053,0.023566916
3.2045,0.109568404,0.04477251,0.023281041
3.22335,0.108259956,0.044295157,0.022995223
3.2422,0.106946522,0.043817884,0.022709388
3.26105,0.106466506,0.043340583,0.022423464
3.2799,0.105228662,0.042863144,0.022137377
3.29875,0.103985886,0.042385455,0.021851053
3.3176,0.102738171,0.041907405,0.021564417
3.33645,0.101485513,0.041428881,0.021277395
3.3553,0.100227907,0.040949771,0.02098991
3.37415,0.098965351,0.04046996,0.020701887
3.393,0.097697843,0.039989333,0.020413248
3.41185,0.096425383,0.039507775,0.020123916
3.4307,0.095147972,0.039119136,0.019833814
3.44955,0.093865611,0.038542605,0.019542864
3.4684,0.092578306,0.037968623,0.019250986
3.48725,0.091286059,0.037397094,0.018958103
3.5061,0.089988878,0.036827923,0.018664133
3.52495,0.088686769,0.036261012,0.018368998
3.5438,0.087379742,0.035696264,0.018072617
3.56265,0.086067807,0.035133581,0.01777491
3.5815,0.084750974,0.034572863,0.017475794
3.60035,0.083429257,0.034014011,0.01717519
3.6192,0.08210267,0.033456925,0.016873015
3.63805,0.080771228,0.032901502,0.016631611
3.6569,0.079434948,0.032347641,0.016367692
3.67575,0.078093849,0.03179524,0.016104587
3.6946,0.07674795,0.031126504,0.015842213
3.71345,0.075397272,0.030575609,0.015580486
3.7323,0.074041838,0.030025267,0.015319323
3.75115,0.072681672,0.029475389,0.015058639
3.77,0.071316799,0.02892588,0.014798349
3.78885,0.069947246,0.02837665,0.014538369
3.8077,0.068651883,0.027827604,0.014278613
3.82655,0.0672644,0.027278649,0.014018997
3.8454,0.065874079,0.026729691,0.013759433
3.86425,0.064480934,0.026180636,0.013499837
3.8831,0.06308498,0.024787227,0.013240121
3.90195,0.061686233,0.024286096,0.0129802
3.9208,0.06028471,0.023783741,0.012719987
3.93965,0.05888043,0.023275256,0.012459394
3.9585,0.057487605,0.022742234,0.012258941
3.97735,0.056075611,0.022210477,0.011923522
3.9962,0.054662075,0.021484567,0.011589179
4.01505,0.053247014,0.02099544,0.01125583
4.0339,0.051830446,0.020506891,0.010923389
4.05275,0.049838444,0.020018805,0.010591773
4.0716,0.048401963,0.01953107,0.010260896
4.09045,0.046964398,0.019043571,0.009930673
4.1093,0.045525774,0.018556192,0.009601019
4.12815,0.044086117,0.018068821,0.009271849
4.147,0.042645451,0.01760377,0.008943074
4.16585,0.041203802,0.017012588,0.008614611
4.1847,0.039761196,0.016423666,0.00828637
4.20355,0.038317659,0.01583691,0.007958267
4.2224,0.036873217,0.015252222,0.007630213
4.24125,0.035427896,0.014669507,0.007302121
4.2601,0.033981721,0.014088667,0.006973903
4.27895,0.032488098,0.013509606,0.006645472
4.2978,0.031096892,0.012932226,0.00631674
4.31665,0.029703765,0.012356429,0.005987618
4.3355,0.028308693,0.011782119,0.005658019
