Distance [mm],B_phi [],B_phi_1 [],B_phi_2 []
2.6013,0.136624497,0.090930405,0.059451154
2.62015,0.137379183,0.091422548,0.059773296
2.639,0.138123579,0.09150994,0.060096275
2.65785,0.138857712,0.091970601,0.060420149
2.6767,0.139581613,0.092429669,0.060744975
2.69555,0.139949441,0.09288723,0.06107081
2.7144,0.140642718,0.093343373,0.061397712
2.73325,0.141326499,0.093798186,0.061725739
2.7521,0.142000799,0.094251756,0.06205495
2.77095,0.142665635,0.094704173,0.062385403
2.7898,0.143321024,0.095155527,0.062717157
2.80865,0.143966986,0.095804348,0.063050271
2.8275,0.14460354,0.096495634,0.063384806
2.84635,0.145230707,0.096883331,0.063720821
2.8652,0.145848506,0.099134515,0.064058377
2.88405,0.146456961,0.099514868,0.064585411
2.9029,0.147056094,0.099889419,0.064871698
2.92175,0.148397404,0.097434261,0.064974527
2.9406,0.149042935,0.097906915,0.065202492
2.95945,0.149678993,0.098378626,0.065402993
2.9783,0.150305582,0.100157278,0.065628324
2.99715,0.150922706,0.100550501,0.065853246
3.016,0.151530372,0.100942542,0.066077783
3.03485,0.152128584,0.101333467,0.066301956
3.0537,0.150596346,0.101723345,0.066525791
3.07255,0.151268843,0.102112243,0.06674931
3.0914,0.151928927,0.102500229,0.066972537
3.11025,0.152576588,0.102887371,0.067195496
3.1291,0.15321182,0.103273739,0.067418211
3.14795,0.153834617,0.103659404,0.067640706
3.1668,0.154444975,0.104044434,0.067863007
3.18565,0.155042892,0.104428902,0.068085137
3.2045,0.155628366,0.10481288,0.068307122
3.22335,0.156201397,0.105196439,0.068528988
3.2422,0.156761988,0.105579653,0.068750758
3.26105,0.157904516,0.105962596,0.06897246
3.2799,0.158511896,0.106345341,0.06919412
3.29875,0.159106951,0.106727964,0.069415763
3.3176,0.159689681,0.107110541,0.069637416
3.33645,0.160260085,0.107493148,0.069859107
3.3553,0.160818166,0.107875863,0.070080862
3.37415,0.161363928,0.108258763,0.070302708
3.393,0.161897377,0.108641927,0.070524674
3.41185,0.16241852,0.109025435,0.070746788
3.4307,0.162927364,0.10962554,0.070969078
3.44955,0.16342392,0.109834384,0.071191572
3.4684,0.163908199,0.110039989,0.071414301
3.48725,0.164380213,0.110242425,0.071637293
3.5061,0.164839977,0.110441768,0.071860578
3.52495,0.165287506,0.110638091,0.072084187
3.5438,0.165722816,0.110831468,0.07230815
3.56265,0.166145926,0.111021975,0.072532497
3.5815,0.166556854,0.111209687,0.072757261
3.60035,0.166955622,0.111394681,0.072982473
3.6192,0.167342251,0.111577034,0.073208164
3.63805,0.167716763,0.111756824,0.073291598
3.6569,0.168079184,0.11193413,0.073434816
3.67575,0.168429538,0.11210903,0.073579397
3.6946,0.168767852,0.112580761,0.073725362
3.71345,0.169094153,0.112842828,0.073872733
3.7323,0.169408471,0.113103941,0.074021532
3.75115,0.169710834,0.113364155,0.074171781
3.77,0.170001273,0.113623522,0.074323502
3.78885,0.170279821,0.113882099,0.074476719
3.8077,0.170492382,0.11413994,0.074631454
3.82655,0.170775041,0.114397102,0.07478773
3.8454,0.171046298,0.11465364,0.074945571
3.86425,0.171306164,0.114909612,0.075105
3.8831,0.171554655,0.115901473,0.075266042
3.90195,0.171791785,0.116165521,0.075428719
3.9208,0.17201757,0.11643034,0.075593058
3.93965,0.172232028,0.115452984,0.075759082
3.9585,0.172936235,0.115629307,0.076024112
3.97735,0.17324442,0.115805354,0.076106357
3.9962,0.173541287,0.115859342,0.076187526
4.01505,0.173826835,0.116071543,0.076267627
4.0339,0.174101064,0.11628427,0.076346672
4.05275,0.173590741,0.116497551,0.076424671
4.0716,0.173929614,0.116711417,0.076501635
4.09045,0.174255498,0.116925899,0.076577574
4.1093,0.174568378,0.117141028,0.076652502
4.12815,0.174868239,0.117356835,0.076726429
4.147,0.175155068,0.117659641,0.076799369
4.16585,0.175428853,0.117747357,0.076871333
4.1847,0.175689584,0.117833233,0.076942336
4.20355,0.175937252,0.117917294,0.077012392
4.2224,0.17617185,0.117999567,0.077081513
4.24125,0.176393372,0.118080078,0.077149715
4.2601,0.176601814,0.118158854,0.077217013
4.27895,0.176773432,0.118235923,0.077283421
4.2978,0.176982955,0.118311312,0.077348956
4.31665,0.177179386,0.118385049,0.077413634
4.3355,0.177362713,0.118457165,0.077477471
4.35435,0.177532924,0.118527687,0.077540485
4.3732,0.177690009,0.118596646,0.077602693
4.39205,0.177833961,0.118664072,0.077664112
4.4109,0.177964772,0.118729997,0.077724761
4.42975,0.178082437,0.118971423,0.077625585
4.4486,0.17818695,0.119073984,0.077648829
4.46745,0.178278311,0.119174846,0.077673716
4.4863,0.178356516,0.119274031,0.077700244
4.50515,0.178421565,0.119371561,0.077728414
4.524,0.178473461,0.119467461,0.077758224
4.54285,0.178512204,0.119561755,0.077789676
4.5617,0.1785378,0.119654468,0.07782277
4.58055,0.178550254,0.119745624,0.077857505
4.5994,0.178549571,0.119835249,0.077893883
4.61825,0.17853576,0.119066913,0.077931904
4.6371,0.178508831,0.119129513,0.07797157
4.65595,0.178468794,0.119189529,0.078012882
4.6748,0.17841566,0.119246981,0.078055843
4.69365,0.178349444,0.119915408,0.078100453
4.7125,0.178270159,0.119943258,0.078146715
4.73135,0.178481075,0.119967581,0.078194632
4.7502,0.178534345,0.120341557,0.078244206
4.76905,0.178574744,0.120316615,0.07829544
4.7879,0.178602269,0.120274073,0.078348337
4.80675,0.178616915,0.120152263,0.078145421
4.8256,0.178618681,0.120029783,0.078081269
4.84445,0.178607564,0.119906597,0.078017876
4.8633,0.178583565,0.11978267,0.077955232
4.88215,0.178546685,0.119657968,0.077893329
4.901,0.178496928,0.119532457,0.077832159
4.91985,0.178434296,0.119406103,0.077771714
4.9387,0.178358796,0.119278874,0.077711988
4.95755,0.178270434,0.119150737,0.077652973
4.9764,0.178169218,0.11902166,0.077594662
4.99525,0.178055156,0.118891614,0.07753705
5.0141,0.17792826,0.118760567,0.07748013
5.03295,0.177788542,0.118628489,0.077423895
5.0518,0.177636013,0.118495351,0.077368342
5.07065,0.17747069,0.118361125,0.077313464
5.0895,0.177292587,0.118225783,0.077259257
5.10835,0.177101722,0.118089296,0.077205715
5.1272,0.176766633,0.117801291,0.077152836
5.14605,0.176032879,0.11771003,0.077100614
5.1649,0.176896553,0.117616975,0.077049047
5.18375,0.176377346,0.117522098,0.07699813
5.2026,0.176246878,0.117425368,0.076947861
5.22145,0.176104747,0.117326756,0.076898236
5.2403,0.17595092,0.117226232,0.076849254
5.25915,0.175785361,0.117123769,0.076800912
5.278,0.175608039,0.117019337,0.076753208
5.29685,0.175418921,0.11691291,0.076872781
5.3157,0.175217977,0.116804462,0.076797509
5.33455,0.175005177,0.116693964,0.076720665
5.3534,0.174780493,0.116581393,0.076642232
5.37225,0.174543897,0.116466721,0.076562194
5.3911,0.174295363,0.116349925,0.076480531
5.40995,0.174034867,0.11623098,0.076397229
5.4288,0.173762385,0.116278212,0.07631227
